ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Original-Title,full_text,keywords
0553582909,icebound,dean r koontz,2000,bantam books,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,Icebound,icebound dean r koontz,[]
0671888587,ill be seeing you,mary higgins clark,1994,pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,I'll Be Seeing You,ill be seeing you mary higgins clark,[]
0553582747,from the corner of his eye,dean koontz,2001,bantam books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,From the Corner of His Eye,from the corner of his eye dean koontz,[]
0425182908,isle of dogs,patricia cornwell,2002,berkley publishing group,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,Isle of Dogs,isle of dogs patricia cornwell,[]
042518630X,purity in death,jd robb,2002,berkley publishing group,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,Purity in Death,purity in death jd robb,[]
0440223571,this year it will be different and other stories,maeve binchy,1997,dell,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,This Year It Will Be Different: And Other Stories,this year it will be different and other stories maeve binchy,[]
0812523873,proxies,laura j mixon,1999,tor books,http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,Proxies,proxies laura j mixon,[]
0842342702,left behind a novel of the earths last days left behind 1,tim lahaye,2000,tyndale house publishers,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),left behind a novel of the earths last days left behind 1 tim lahaye,"['days', 'left', 'days left', 'earths', 'tim', 'novel', 'left tim', 'earths days', 'left novel', 'lahaye', 'novel earths', 'tim lahaye']"
0440225701,the street lawyer,john grisham,1999,dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,The Street Lawyer,the street lawyer john grisham,[]
0060914068,love medicine and miracles,md bernie s siegel,1988,harpercollins publishers,http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,"Love, Medicine and Miracles",love medicine and miracles md bernie s siegel,[]
0156047624,all the kings men,robert penn warren,1982,harvest books,http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,All the King's Men,all the kings men robert penn warren,[]
0245542957,pacific northwest,hans johannes hoefer,1985,chambers harrap publishers ltd,http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg,Pacific Northwest,pacific northwest hans johannes hoefer,[]
0380715899,a soldier of the great war,mark helprin,1992,avon books,http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,A Soldier of the Great War,a soldier of the great war mark helprin,[]
0553280333,getting well again,o carol simonton md,1992,bantam,http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg,Getting Well Again,getting well again o carol simonton md,[]
0961769947,northwest wines and wineries,chuck hill,1993,speed graphics,http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,Northwest Wines and Wineries,northwest wines and wineries chuck hill,[]
0964778319,an atmosphere of eternity stories of india,david iglehart,2002,sunflower press,http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,An Atmosphere of Eternity: Stories of India,an atmosphere of eternity stories of india david iglehart,[]
0671623249,lonesome dove,larry mcmurtry,1986,pocket,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,LONESOME DOVE,lonesome dove larry mcmurtry,[]
0679810307,shabanu daughter of the wind border trilogy,suzanne fisher staples,1991,laurel leaf,http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,Shabanu: Daughter of the Wind (Border Trilogy),shabanu daughter of the wind border trilogy suzanne fisher staples,"['staples', 'border', 'fisher', 'daughter', 'suzanne', 'fisher staples', 'wind', 'shabanu', 'wind border', 'shabanu daughter', 'trilogy suzanne', 'border trilogy']"
0679865691,haveli laurel leaf books,suzanne fisher staples,1995,laurel leaf,http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,Haveli (Laurel Leaf Books),haveli laurel leaf books suzanne fisher staples,"['suzanne', 'fisher', 'haveli', 'staples', 'leaf', 'suzanne fisher', 'books', 'laurel', 'fisher staples', 'books suzanne', 'haveli laurel', 'leaf books']"
2070423204,lieux dits,michel tournier,2002,gallimard,http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,Lieux dits,lieux dits michel tournier,[]
0345260317,the dragons of eden speculations on the evolution of human intelligence,carl sagan,1978,ballantine books,http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,the dragons of eden speculations on the evolution of human intelligence carl sagan,"['carl', 'human', 'speculations', 'dragons', 'intelligence', 'sagan', 'evolution', 'speculations evolution', 'eden', 'carl sagan', 'human intelligence', 'dragons eden']"
0394743741,the yawning heights,aleksandr zinoviev,1980,random house,http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg,The yawning heights,the yawning heights aleksandr zinoviev,[]
042511774X,breathing lessons,anne tyler,1994,berkley publishing group,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,Breathing Lessons,breathing lessons anne tyler,[]
0804106304,the joy luck club,amy tan,1994,prentice hall k12,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,The Joy Luck Club,the joy luck club amy tan,[]
1853262404,heart of darkness wordsworth collection,joseph conrad,1998,ntccontemporary publishing company,http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,Heart of Darkness (Wordsworth Collection),heart of darkness wordsworth collection joseph conrad,[]
0312970242,the angel is near,deepak chopra,2000,st martins press,http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg,The Angel Is Near,the angel is near deepak chopra,[]
1853260053,tess of the durbervilles wordsworth classics,thomas hardy,1997,ntccontemporary publishing company,http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,Tess of the D'Urbervilles (Wordsworth Classics),tess of the durbervilles wordsworth classics thomas hardy,[]
1414035004,the adventures of drew and ellie the magical dress,charles noland,2003,1stbooks library,http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,The Adventures of Drew and Ellie: The Magical Dress,the adventures of drew and ellie the magical dress charles noland,"['charles', 'magical', 'noland', 'dress', 'charles noland', 'dress charles', 'drew', 'adventures', 'ellie', 'magical dress', 'ellie magical', 'adventures drew']"
