ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,full_text,keywords
0771074670,nights below station street,david adams richards,1988.0,emblem editions,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,nights below station street david adams richards,"['station', 'david', 'street', 'adams', 'nights', 'richards', 'station street', 'david adams']"
080652121X,hitlers secret bankers the myth of swiss neutrality during the holocaust,adam lebor,2000.0,citadel press,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,hitlers secret bankers the myth of swiss neutrality during the holocaust adam lebor,"['adam', 'myth', 'secret', 'neutrality', 'swiss', 'bankers myth', 'lebor', 'neutrality holocaust']"
0887841740,the middle stories,sheila heti,2004.0,house of anansi press,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,the middle stories sheila heti,[]
1552041778,jane doe,r j kaiser,1999.0,mira books,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,jane doe r j kaiser,[]
1558746218,a second chicken soup for the womans soul chicken soup for the soul series,jack canfield,1998.0,health communications,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,a second chicken soup for the womans soul chicken soup for the soul series jack canfield,"['second', 'womans', 'womans soul', 'soul series', 'canfield', 'series jack', 'second chicken', 'chicken soup']"
1567407781,the witchfinder amos walker mystery series,loren d estleman,1998.0,brilliance audio trade,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,the witchfinder amos walker mystery series loren d estleman,"['estleman', 'mystery', 'series', 'amos', 'walker', 'loren estleman', 'series loren', 'witchfinder']"
1575663937,more cunning than man a social history of rats and man,robert hendrickson,1999.0,kensington publishing corp,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,more cunning than man a social history of rats and man robert hendrickson,"['man', 'social', 'man robert', 'social history', 'hendrickson', 'rats', 'cunning', 'robert hendrickson']"
1881320189,goodbye to the buttermilk sky,julia oliver,1994.0,river city pub,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,goodbye to the buttermilk sky julia oliver,"['goodbye', 'sky', 'oliver', 'julia', 'buttermilk', 'julia oliver', 'buttermilk sky', 'goodbye buttermilk']"
0440234743,the testament,john grisham,1999.0,dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,the testament john grisham,[]
0452264464,beloved plume contemporary fiction,toni morrison,1994.0,plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,beloved plume contemporary fiction toni morrison,"['beloved', 'toni', 'contemporary', 'fiction', 'plume', 'morrison', 'beloved plume', 'toni morrison']"
0609804618,our dumb century the onion presents 100 years of headlines from americas finest news source,the onion,1999.0,three rivers press,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,our dumb century the onion presents 100 years of headlines from americas finest news source the onion,"['years', 'dumb', 'presents 100', 'americas', 'headlines', 'finest news', 'source onion', 'dumb century']"
1841721522,new vegetarian bold and beautiful recipes for every occasion,celia brooks brown,2001.0,ryland peters amp small ltd,http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,new vegetarian bold and beautiful recipes for every occasion celia brooks brown,"['occasion', 'new', 'beautiful', 'bold beautiful', 'brooks brown', 'vegetarian', 'recipes occasion', 'celia']"
1879384493,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself,j r parrish,2003.0,cypress house,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself j r parrish,"['id', 'afford make', 'parrish', 'know', 'make parrish', 'known know', 'mistakes afford', 'learn mistakes']"
0061076031,marykate amp ashley switching goals marykate and ashley starring in,marykate amp ashley olsen,2000.0,harperentertainment,http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,marykate amp ashley switching goals marykate and ashley starring in marykate amp ashley olsen,"['amp', 'switching', 'goals', 'switching goals', 'olsen', 'marykate amp', 'starring marykate', 'ashley starring']"
0439095026,tell me this isnt happening,robynn clairday,1999.0,scholastic,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,tell me this isnt happening robynn clairday,"['tell', 'isnt', 'tell isnt', 'happening', 'isnt happening', 'robynn', 'clairday', 'robynn clairday']"
0689821166,flood mississippi 1927,kathleen duey,1998.0,aladdin,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,flood mississippi 1927 kathleen duey,"['kathleen', 'mississippi', '1927', 'duey', 'flood', '1927 kathleen', 'kathleen duey', 'flood mississippi']"
0971880107,wild animus,rich shapero,2004.0,too far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,wild animus rich shapero,[]
0345402871,airframe,michael crichton,1997.0,ballantine books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,airframe michael crichton,[]
0345417623,timeline,michael crichton,2000.0,ballantine books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,timeline michael crichton,[]
0684823802,out of the silent planet,cs lewis,1996.0,scribner,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,out of the silent planet cs lewis,[]
0375759778,prague a novel,arthur phillips,2003.0,random house trade paperbacks,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,prague a novel arthur phillips,[]
0425163091,chocolate jesus,stephan jaramillo,1998.0,berkley publishing group,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,chocolate jesus stephan jaramillo,[]
3404921038,wie barney es sieht,mordecai richler,2002.0,lããâ¼bbe,http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,wie barney es sieht mordecai richler,"['wie', 'es', 'richler', 'sieht', 'mordecai', 'barney', 'es sieht', 'wie barney']"
3442353866,der fluch der kaiserin ein richter di roman,eleanor cooney,2001.0,goldmann,http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,der fluch der kaiserin ein richter di roman eleanor cooney,"['ein', 'fluch', 'di roman', 'cooney', 'kaiserin', 'richter', 'roman eleanor', 'eleanor cooney']"
3442410665,sturmzeit roman,charlotte link,1991.0,goldmann,http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,sturmzeit roman charlotte link,[]
3442446937,tage der unschuld,richard north patterson,2000.0,goldmann,http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,tage der unschuld richard north patterson,"['der', 'tage', 'north', 'richard', 'tage der', 'unschuld', 'patterson', 'north patterson']"
0375406328,lying awake,mark salzman,2000.0,alfred a knopf,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,lying awake mark salzman,[]
0446310786,to kill a mockingbird,harper lee,1988.0,little brown amp company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,to kill a mockingbird harper lee,[]
0449005615,seabiscuit an american legend,laura hillenbrand,2002.0,ballantine books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,seabiscuit an american legend laura hillenbrand,"['legend', 'american', 'american legend', 'laura', 'hillenbrand', 'seabiscuit', 'seabiscuit american', 'laura hillenbrand']"
0060168013,pigs in heaven,barbara kingsolver,1993.0,harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,pigs in heaven barbara kingsolver,[]
038078243X,miss zukas and the ravens dance,jo dereske,1996.0,avon,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,miss zukas and the ravens dance jo dereske,"['jo', 'miss', 'ravens', 'dereske', 'dance', 'zukas', 'ravens dance', 'miss zukas']"
055321215X,pride and prejudice,jane austen,1983.0,bantam,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,pride and prejudice jane austen,[]
067176537X,the therapeutic touch how to use your hands to help or to heal,dolores krieger,1979.0,fireside,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,the therapeutic touch how to use your hands to help or to heal dolores krieger,"['help', 'krieger', 'help heal', 'dolores', 'therapeutic', 'touch use', 'hands help', 'dolores krieger']"
0061099686,downtown,anne rivers siddons,1995.0,harpertorch,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,downtown anne rivers siddons,[]
0553582909,icebound,dean r koontz,2000.0,bantam books,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,icebound dean r koontz,[]
0671888587,ill be seeing you,mary higgins clark,1994.0,pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,ill be seeing you mary higgins clark,"['ill', 'seeing', 'ill seeing', 'mary', 'higgins', 'clark', 'seeing mary', 'mary higgins']"
0553582747,from the corner of his eye,dean koontz,2001.0,bantam books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,from the corner of his eye dean koontz,[]
0425182908,isle of dogs,patricia cornwell,2002.0,berkley publishing group,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,isle of dogs patricia cornwell,[]
042518630X,purity in death,jd robb,2002.0,berkley publishing group,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,purity in death jd robb,[]
0440223571,this year it will be different and other stories,maeve binchy,1997.0,dell,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,this year it will be different and other stories maeve binchy,"['different', 'stories', 'year', 'maeve', 'different stories', 'year different', 'binchy', 'maeve binchy']"
0812523873,proxies,laura j mixon,1999.0,tor books,http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,proxies laura j mixon,[]
0842342702,left behind a novel of the earths last days left behind 1,tim lahaye,2000.0,tyndale house publishers,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,left behind a novel of the earths last days left behind 1 tim lahaye,"['days', 'left', 'earths', 'tim', 'novel', 'left tim', 'lahaye', 'novel earths']"
0440225701,the street lawyer,john grisham,1999.0,dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,the street lawyer john grisham,[]
0060914068,love medicine and miracles,md bernie s siegel,1988.0,harpercollins publishers,http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,love medicine and miracles md bernie s siegel,"['love', 'bernie', 'md', 'siegel', 'miracles', 'love medicine', 'bernie siegel', 'medicine miracles']"
0156047624,all the kings men,robert penn warren,1982.0,harvest books,http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,all the kings men robert penn warren,"['men', 'penn', 'robert', 'men robert', 'kings', 'kings men', 'warren', 'penn warren']"
0245542957,pacific northwest,hans johannes hoefer,1985.0,chambers harrap publishers ltd,http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg,pacific northwest hans johannes hoefer,"['pacific', 'johannes', 'northwest', 'hans', 'pacific northwest', 'hans johannes', 'hoefer', 'johannes hoefer']"
0380715899,a soldier of the great war,mark helprin,1992.0,avon books,http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,a soldier of the great war mark helprin,"['great', 'war', 'great war', 'mark', 'soldier', 'helprin', 'soldier great', 'mark helprin']"
0553280333,getting well again,o carol simonton md,1992.0,bantam,http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg,getting well again o carol simonton md,[]
0961769947,northwest wines and wineries,chuck hill,1993.0,speed graphics,http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,northwest wines and wineries chuck hill,"['hill', 'northwest', 'chuck', 'chuck hill', 'wineries', 'wines', 'wines wineries', 'northwest wines']"
0964778319,an atmosphere of eternity stories of india,david iglehart,2002.0,sunflower press,http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,an atmosphere of eternity stories of india david iglehart,"['atmosphere', 'david', 'stories', 'india', 'atmosphere eternity', 'iglehart', 'david iglehart', 'stories india']"
0671623249,lonesome dove,larry mcmurtry,1986.0,pocket,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,lonesome dove larry mcmurtry,[]
0679810307,shabanu daughter of the wind border trilogy,suzanne fisher staples,1991.0,laurel leaf,http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,shabanu daughter of the wind border trilogy suzanne fisher staples,"['staples', 'border', 'fisher', 'daughter', 'shabanu', 'wind border', 'daughter wind', 'trilogy suzanne']"
0679865691,haveli laurel leaf books,suzanne fisher staples,1995.0,laurel leaf,http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,haveli laurel leaf books suzanne fisher staples,"['suzanne', 'fisher', 'haveli', 'staples', 'leaf', 'books', 'laurel', 'books suzanne']"
2070423204,lieux dits,michel tournier,2002.0,gallimard,http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,lieux dits michel tournier,[]
0345260317,the dragons of eden speculations on the evolution of human intelligence,carl sagan,1978.0,ballantine books,http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,the dragons of eden speculations on the evolution of human intelligence carl sagan,"['carl', 'human', 'speculations', 'dragons', 'sagan', 'speculations evolution', 'eden', 'human intelligence']"
0394743741,the yawning heights,aleksandr zinoviev,1980.0,random house,http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg,the yawning heights aleksandr zinoviev,[]
042511774X,breathing lessons,anne tyler,1994.0,berkley publishing group,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,breathing lessons anne tyler,[]
0804106304,the joy luck club,amy tan,1994.0,prentice hall k12,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,the joy luck club amy tan,"['luck', 'tan', 'joy', 'amy', 'club', 'joy luck', 'club amy', 'amy tan']"
1853262404,heart of darkness wordsworth collection,joseph conrad,1998.0,ntccontemporary publishing company,http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,heart of darkness wordsworth collection joseph conrad,"['heart', 'collection', 'joseph', 'wordsworth', 'darkness', 'heart darkness', 'wordsworth collection', 'conrad']"
0312970242,the angel is near,deepak chopra,2000.0,st martins press,http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg,the angel is near deepak chopra,[]
1853260053,tess of the durbervilles wordsworth classics,thomas hardy,1997.0,ntccontemporary publishing company,http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,tess of the durbervilles wordsworth classics thomas hardy,"['durbervilles', 'thomas', 'classics', 'hardy', 'tess', 'durbervilles wordsworth', 'thomas hardy', 'wordsworth classics']"
1414035004,the adventures of drew and ellie the magical dress,charles noland,2003.0,1stbooks library,http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,the adventures of drew and ellie the magical dress charles noland,"['magical', 'noland', 'dress', 'charles noland', 'dress charles', 'drew', 'adventures', 'ellie']"
0060938412,the accidental virgin,valerie frankel,2003.0,avon trade,http://images.amazon.com/images/P/0060938412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg,the accidental virgin valerie frankel,[]
0140067477,the tao of pooh,benjamin hoff,1983.0,penguin books,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,the tao of pooh benjamin hoff,[]
0345465083,seabiscuit,laura hillenbrand,2003.0,ballantine books,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,seabiscuit laura hillenbrand,[]
