ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Original-Title,full_text,keywords
0887841740,the middle stories,sheila heti,2004,house of anansi press,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,The Middle Stories,the middle stories sheila heti,[]
1552041778,jane doe,r j kaiser,1999,mira books,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,Jane Doe,jane doe r j kaiser,[]
1558746218,a second chicken soup for the womans soul chicken soup for the soul series,jack canfield,1998,health communications,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),a second chicken soup for the womans soul chicken soup for the soul series jack canfield,"['second', 'womans', 'womans soul', 'soul series', 'canfield', 'series jack', 'second chicken', 'chicken soup']"
1567407781,the witchfinder amos walker mystery series,loren d estleman,1998,brilliance audio trade,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,The Witchfinder (Amos Walker Mystery Series),the witchfinder amos walker mystery series loren d estleman,"['estleman', 'mystery', 'series', 'amos', 'walker', 'loren estleman', 'series loren', 'witchfinder']"
1575663937,more cunning than man a social history of rats and man,robert hendrickson,1999,kensington publishing corp,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,More Cunning Than Man: A Social History of Rats and Man,more cunning than man a social history of rats and man robert hendrickson,"['man', 'social', 'man robert', 'social history', 'hendrickson', 'rats', 'cunning', 'robert hendrickson']"
1881320189,goodbye to the buttermilk sky,julia oliver,1994,river city pub,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,Goodbye to the Buttermilk Sky,goodbye to the buttermilk sky julia oliver,"['goodbye', 'sky', 'oliver', 'julia', 'buttermilk', 'julia oliver', 'buttermilk sky', 'goodbye buttermilk']"
0440234743,the testament,john grisham,1999,dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,The Testament,the testament john grisham,[]
0452264464,beloved plume contemporary fiction,toni morrison,1994,plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,Beloved (Plume Contemporary Fiction),beloved plume contemporary fiction toni morrison,"['beloved', 'toni', 'contemporary', 'fiction', 'plume', 'morrison', 'beloved plume', 'toni morrison']"
0609804618,our dumb century the onion presents 100 years of headlines from americas finest news source,the onion,1999,three rivers press,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,our dumb century the onion presents 100 years of headlines from americas finest news source the onion,"['years', 'dumb', 'presents 100', 'americas', 'headlines', 'finest news', 'source onion', 'dumb century']"
1841721522,new vegetarian bold and beautiful recipes for every occasion,celia brooks brown,2001,ryland peters amp small ltd,http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,new vegetarian bold and beautiful recipes for every occasion celia brooks brown,"['occasion', 'new', 'beautiful', 'bold beautiful', 'brooks brown', 'vegetarian', 'recipes occasion', 'celia']"
1879384493,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself,j r parrish,2003,cypress house,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself j r parrish,"['id', 'afford make', 'parrish', 'know', 'make parrish', 'known know', 'mistakes afford', 'learn mistakes']"
0061076031,marykate amp ashley switching goals marykate and ashley starring in,marykate amp ashley olsen,2000,harperentertainment,http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),marykate amp ashley switching goals marykate and ashley starring in marykate amp ashley olsen,"['amp', 'switching', 'goals', 'switching goals', 'olsen', 'marykate amp', 'starring marykate', 'ashley starring']"
0439095026,tell me this isnt happening,robynn clairday,1999,scholastic,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,Tell Me This Isn't Happening,tell me this isnt happening robynn clairday,"['tell', 'isnt', 'tell isnt', 'happening', 'isnt happening', 'robynn', 'clairday', 'robynn clairday']"
0689821166,flood mississippi 1927,kathleen duey,1998,aladdin,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,Flood : Mississippi 1927,flood mississippi 1927 kathleen duey,"['kathleen', 'mississippi', '1927', 'duey', 'flood', '1927 kathleen', 'kathleen duey', 'flood mississippi']"
0971880107,wild animus,rich shapero,2004,too far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,Wild Animus,wild animus rich shapero,[]
0345402871,airframe,michael crichton,1997,ballantine books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,Airframe,airframe michael crichton,[]
0345417623,timeline,michael crichton,2000,ballantine books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,Timeline,timeline michael crichton,[]
0684823802,out of the silent planet,cs lewis,1996,scribner,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,OUT OF THE SILENT PLANET,out of the silent planet cs lewis,[]
0375759778,prague a novel,arthur phillips,2003,random house trade paperbacks,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,Prague : A Novel,prague a novel arthur phillips,[]
0425163091,chocolate jesus,stephan jaramillo,1998,berkley publishing group,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,Chocolate Jesus,chocolate jesus stephan jaramillo,[]
3404921038,wie barney es sieht,mordecai richler,2002,lããâ¼bbe,http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,Wie Barney es sieht.,wie barney es sieht mordecai richler,"['wie', 'es', 'richler', 'sieht', 'mordecai', 'barney', 'es sieht', 'wie barney']"
3442353866,der fluch der kaiserin ein richter di roman,eleanor cooney,2001,goldmann,http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,der fluch der kaiserin ein richter di roman eleanor cooney,"['ein', 'fluch', 'di roman', 'cooney', 'kaiserin', 'richter', 'roman eleanor', 'eleanor cooney']"
3442410665,sturmzeit roman,charlotte link,1991,goldmann,http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,Sturmzeit. Roman.,sturmzeit roman charlotte link,[]
3442446937,tage der unschuld,richard north patterson,2000,goldmann,http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,Tage der Unschuld.,tage der unschuld richard north patterson,"['der', 'tage', 'north', 'richard', 'tage der', 'unschuld', 'patterson', 'north patterson']"
0375406328,lying awake,mark salzman,2000,alfred a knopf,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,Lying Awake,lying awake mark salzman,[]
0446310786,to kill a mockingbird,harper lee,1988,little brown amp company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,To Kill a Mockingbird,to kill a mockingbird harper lee,[]
0449005615,seabiscuit an american legend,laura hillenbrand,2002,ballantine books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,Seabiscuit: An American Legend,seabiscuit an american legend laura hillenbrand,"['legend', 'american', 'american legend', 'laura', 'hillenbrand', 'seabiscuit', 'seabiscuit american', 'laura hillenbrand']"
0060168013,pigs in heaven,barbara kingsolver,1993,harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,Pigs in Heaven,pigs in heaven barbara kingsolver,[]
038078243X,miss zukas and the ravens dance,jo dereske,1996,avon,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,Miss Zukas and the Raven's Dance,miss zukas and the ravens dance jo dereske,"['jo', 'miss', 'ravens', 'dereske', 'dance', 'zukas', 'ravens dance', 'miss zukas']"
055321215X,pride and prejudice,jane austen,1983,bantam,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,Pride and Prejudice,pride and prejudice jane austen,[]
067176537X,the therapeutic touch how to use your hands to help or to heal,dolores krieger,1979,fireside,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,the therapeutic touch how to use your hands to help or to heal dolores krieger,"['help', 'krieger', 'help heal', 'dolores', 'therapeutic', 'touch use', 'hands help', 'dolores krieger']"
0061099686,downtown,anne rivers siddons,1995,harpertorch,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,Downtown,downtown anne rivers siddons,[]
0553582909,icebound,dean r koontz,2000,bantam books,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,Icebound,icebound dean r koontz,[]
0671888587,ill be seeing you,mary higgins clark,1994,pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,I'll Be Seeing You,ill be seeing you mary higgins clark,"['ill', 'seeing', 'ill seeing', 'mary', 'higgins', 'clark', 'seeing mary', 'mary higgins']"
0553582747,from the corner of his eye,dean koontz,2001,bantam books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,From the Corner of His Eye,from the corner of his eye dean koontz,[]
0425182908,isle of dogs,patricia cornwell,2002,berkley publishing group,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,Isle of Dogs,isle of dogs patricia cornwell,[]
042518630X,purity in death,jd robb,2002,berkley publishing group,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,Purity in Death,purity in death jd robb,[]
0440223571,this year it will be different and other stories,maeve binchy,1997,dell,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,This Year It Will Be Different: And Other Stories,this year it will be different and other stories maeve binchy,"['different', 'stories', 'year', 'maeve', 'different stories', 'year different', 'binchy', 'maeve binchy']"
0812523873,proxies,laura j mixon,1999,tor books,http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,Proxies,proxies laura j mixon,[]
0842342702,left behind a novel of the earths last days left behind 1,tim lahaye,2000,tyndale house publishers,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),left behind a novel of the earths last days left behind 1 tim lahaye,"['days', 'left', 'earths', 'tim', 'novel', 'left tim', 'lahaye', 'novel earths']"
0440225701,the street lawyer,john grisham,1999,dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,The Street Lawyer,the street lawyer john grisham,[]
0060914068,love medicine and miracles,md bernie s siegel,1988,harpercollins publishers,http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,"Love, Medicine and Miracles",love medicine and miracles md bernie s siegel,"['love', 'bernie', 'md', 'siegel', 'miracles', 'love medicine', 'bernie siegel', 'medicine miracles']"
0156047624,all the kings men,robert penn warren,1982,harvest books,http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,All the King's Men,all the kings men robert penn warren,"['men', 'penn', 'robert', 'men robert', 'kings', 'kings men', 'warren', 'penn warren']"
0245542957,pacific northwest,hans johannes hoefer,1985,chambers harrap publishers ltd,http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg,Pacific Northwest,pacific northwest hans johannes hoefer,"['pacific', 'johannes', 'northwest', 'hans', 'pacific northwest', 'hans johannes', 'hoefer', 'johannes hoefer']"
0380715899,a soldier of the great war,mark helprin,1992,avon books,http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,A Soldier of the Great War,a soldier of the great war mark helprin,"['great', 'war', 'great war', 'mark', 'soldier', 'helprin', 'soldier great', 'mark helprin']"
0553280333,getting well again,o carol simonton md,1992,bantam,http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg,Getting Well Again,getting well again o carol simonton md,[]
0961769947,northwest wines and wineries,chuck hill,1993,speed graphics,http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,Northwest Wines and Wineries,northwest wines and wineries chuck hill,"['hill', 'northwest', 'chuck', 'chuck hill', 'wineries', 'wines', 'wines wineries', 'northwest wines']"
0964778319,an atmosphere of eternity stories of india,david iglehart,2002,sunflower press,http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,An Atmosphere of Eternity: Stories of India,an atmosphere of eternity stories of india david iglehart,"['atmosphere', 'david', 'stories', 'india', 'atmosphere eternity', 'iglehart', 'david iglehart', 'stories india']"
0671623249,lonesome dove,larry mcmurtry,1986,pocket,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,LONESOME DOVE,lonesome dove larry mcmurtry,[]
0679810307,shabanu daughter of the wind border trilogy,suzanne fisher staples,1991,laurel leaf,http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,Shabanu: Daughter of the Wind (Border Trilogy),shabanu daughter of the wind border trilogy suzanne fisher staples,"['staples', 'border', 'fisher', 'daughter', 'shabanu', 'wind border', 'daughter wind', 'trilogy suzanne']"
0679865691,haveli laurel leaf books,suzanne fisher staples,1995,laurel leaf,http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,Haveli (Laurel Leaf Books),haveli laurel leaf books suzanne fisher staples,"['suzanne', 'fisher', 'haveli', 'staples', 'leaf', 'books', 'laurel', 'books suzanne']"
2070423204,lieux dits,michel tournier,2002,gallimard,http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,Lieux dits,lieux dits michel tournier,[]
0345260317,the dragons of eden speculations on the evolution of human intelligence,carl sagan,1978,ballantine books,http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,the dragons of eden speculations on the evolution of human intelligence carl sagan,"['carl', 'human', 'speculations', 'dragons', 'sagan', 'speculations evolution', 'eden', 'human intelligence']"
0394743741,the yawning heights,aleksandr zinoviev,1980,random house,http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg,The yawning heights,the yawning heights aleksandr zinoviev,[]
042511774X,breathing lessons,anne tyler,1994,berkley publishing group,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,Breathing Lessons,breathing lessons anne tyler,[]
0804106304,the joy luck club,amy tan,1994,prentice hall k12,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,The Joy Luck Club,the joy luck club amy tan,"['luck', 'tan', 'joy', 'amy', 'club', 'joy luck', 'club amy', 'amy tan']"
1853262404,heart of darkness wordsworth collection,joseph conrad,1998,ntccontemporary publishing company,http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,Heart of Darkness (Wordsworth Collection),heart of darkness wordsworth collection joseph conrad,"['heart', 'collection', 'joseph', 'wordsworth', 'darkness', 'heart darkness', 'wordsworth collection', 'conrad']"
